champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Maokai,Defeat,0/3/2,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Nocturne,Victory,4/5/12,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Maokai,Defeat,1/3/1,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Poppy,Defeat,2/3/3,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Belveth,Defeat,0/3/3,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Maokai,Defeat,0/4/3,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Maokai,Defeat,1/3/2,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Rell,Victory,3/4/20,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Maokai,Victory,2/3/9,42:12,2023-10-19,G2 Esports vs Dplus KIA,Worlds Main Event 2023
