champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Aatrox,Victory,4/1/9,26:35,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
KSante,Defeat,1/3/1,28:30,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
KSante,Victory,0/2/11,27:39,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
Renekton,Victory,3/1/5,24:38,2023-10-20,JD Gaming vs BLG,Worlds Main Event 2023
Ornn,Victory,2/2/11,27:04,2023-10-19,JD Gaming vs Team BDS,Worlds Main Event 2023
