champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
KSante,Victory,1/2/6,23:38,2023-10-29,Fnatic vs WBG,Worlds Main Event 2023
Gnar,Victory,4/1/8,30:42,2023-10-29,Fnatic vs WBG,Worlds Main Event 2023
Aatrox,Defeat,0/4/2,28:23,2023-10-29,Fnatic vs WBG,Worlds Main Event 2023
Aatrox,Victory,4/2/7,28:58,2023-10-26,MAD Lions vs WBG,Worlds Main Event 2023
Aatrox,Victory,4/1/5,32:13,2023-10-26,MAD Lions vs WBG,Worlds Main Event 2023
Rumble,Defeat,1/6/4,38:40,2023-10-22,KT Rolster vs WBG,Worlds Main Event 2023
KSante,Defeat,9/6/7,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Rumble,Victory,0/1/3,29:11,2023-10-19,NRG vs WBG,Worlds Main Event 2023
