GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerRole,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53591,Worlds Main Event 2023,Victory,23:38,Jungle,Weibo Gaming,Fnatic,2,2,8,108,9,3,1,True,https://gol.gg/game/stats/53591/page-game/
53590,Worlds Main Event 2023,Victory,30:42,Jungle,Weibo Gaming,Fnatic,0,1,15,142,10,2,2,False,https://gol.gg/game/stats/53590/page-game/
53589,Worlds Main Event 2023,Defeat,28:23,Jungle,Weibo Gaming,Fnatic,0,2,2,116,2,0,0,False,https://gol.gg/game/stats/53589/page-game/
53573,Worlds Main Event 2023,Victory,28:58,Jungle,Weibo Gaming,MAD Lions,2,1,12,151,11,2,2,True,https://gol.gg/game/stats/53573/page-game/
53572,Worlds Main Event 2023,Victory,32:13,Jungle,Weibo Gaming,MAD Lions,2,4,11,139,8,2,1,True,https://gol.gg/game/stats/53572/page-game/
53563,Worlds Main Event 2023,Defeat,38:40,Jungle,Weibo Gaming,KT Rolster,1,8,6,162,0,3,0,True,https://gol.gg/game/stats/53563/page-game/
53551,Worlds Main Event 2023,Defeat,38:24,Jungle,Weibo Gaming,G2 Esports,5,4,10,256,7,4,2,True,https://gol.gg/game/stats/53551/page-game/
53543,Worlds Main Event 2023,Victory,29:11,Jungle,Weibo Gaming,NRG,2,0,5,169,9,3,2,True,https://gol.gg/game/stats/53543/page-game/
