champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Braum,Victory,1/0/11,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Rakan,Defeat,0/2/18,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Milio,Victory,0/2/13,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Alistar,Defeat,0/5/0,31:01,2023-10-28,T1 vs BLG,Worlds Main Event 2023
Rell,Defeat,1/2/2,28:44,2023-10-28,T1 vs BLG,Worlds Main Event 2023
Rakan,Victory,1/1/11,32:59,2023-10-22,BLG vs Fnatic,Worlds Main Event 2023
Blitzcrank,Defeat,1/3/4,24:38,2023-10-20,JD Gaming vs BLG,Worlds Main Event 2023
Rell,Victory,0/2/17,45:16,2023-10-19,BLG vs KT,Worlds Main Event 2023
