champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Renekton,Victory,1/0/7,24:20,2023-10-27,KT Rolster vs LNG Esports,Worlds Main Event 2023
Jax,Defeat,2/1/1,32:34,2023-10-27,KT Rolster vs LNG Esports,Worlds Main Event 2023
Jax,Victory,1/2/2,35:30,2023-10-27,KT Rolster vs LNG Esports,Worlds Main Event 2023
KSante,Defeat,1/3/1,26:35,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
Renekton,Victory,4/0/5,28:30,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
Camille,Defeat,1/3/2,27:39,2023-10-21,JD Gaming vs LNG Esports,Worlds Main Event 2023
Jax,Victory,2/2/4,32:13,2023-10-20,Cloud9 vs LNG Esports,Worlds Main Event 2023
Jax,Victory,1/3/7,29:11,2023-10-19,Fnatic vs LNG Esports,Worlds Main Event 2023
