GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerRole,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53580,Worlds Main Event 2023,Victory,24:20,ADC,LNG Esports,KT Rolster,5,1,8,227,8,1,1,False,https://gol.gg/game/stats/53580/page-game/
53579,Worlds Main Event 2023,Defeat,32:34,ADC,LNG Esports,KT Rolster,0,3,1,334,2,0,0,True,https://gol.gg/game/stats/53579/page-game/
53578,Worlds Main Event 2023,Victory,35:30,ADC,LNG Esports,KT Rolster,8,0,3,385,9,2,2,False,https://gol.gg/game/stats/53578/page-game/
53556,Worlds Main Event 2023,Defeat,26:35,ADC,LNG Esports,JD Gaming,1,2,5,242,2,1,0,True,https://gol.gg/game/stats/53556/page-game/
53555,Worlds Main Event 2023,Victory,28:30,ADC,LNG Esports,JD Gaming,3,1,8,295,8,3,1,True,https://gol.gg/game/stats/53555/page-game/
53554,Worlds Main Event 2023,Defeat,27:39,ADC,LNG Esports,JD Gaming,3,2,1,285,3,3,0,False,https://gol.gg/game/stats/53554/page-game/
53547,Worlds Main Event 2023,Victory,32:13,ADC,LNG Esports,Cloud9,2,2,7,341,10,4,1,True,https://gol.gg/game/stats/53547/page-game/
53544,Worlds Main Event 2023,Victory,29:11,ADC,LNG Esports,Fnatic,8,1,5,302,9,2,2,True,https://gol.gg/game/stats/53544/page-game/
