GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53582,Worlds Main Event 2023,Victory,28:29,NRG,G2 Esports,0,1,16,44,9,4,1,True,https://gol.gg/game/stats/53582/page-game/
53581,Worlds Main Event 2023,Victory,31:03,NRG,G2 Esports,5,1,15,55,10,4,1,False,https://gol.gg/game/stats/53581/page-game/
53561,Worlds Main Event 2023,Victory,41:40,NRG,MAD Lions,0,4,17,32,10,4,2,True,https://gol.gg/game/stats/53561/page-game/
53546,Worlds Main Event 2023,Victory,31:38,NRG,Team Liquid,5,1,11,38,9,2,1,True,https://gol.gg/game/stats/53546/page-game/
53543,Worlds Main Event 2023,Defeat,29:11,NRG,Weibo Gaming,0,3,1,29,2,1,0,False,https://gol.gg/game/stats/53543/page-game/
