champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Bard,Defeat,3/5/1,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Lissandra,Victory,0/5/14,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Braum,Defeat,0/3/2,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Nautilus,Defeat,0/6/6,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Rell,Defeat,0/8/2,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Nautilus,Defeat,1/4/2,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Lissandra,Defeat,0/5/3,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Rakan,Victory,2/5/23,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Renata Glasc,Victory,0/1/12,42:12,2023-10-19,G2 Esports vs Dplus KIA,Worlds Main Event 2023
