champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Rell,Victory,3/0/17,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Lee Sin,Victory,4/1/10,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
KhaZix,Victory,2/2/3,29:41,2023-10-20,GEN vs T1,Worlds Main Event 2023
Vi,Victory,7/2/9,22:35,2023-10-19,GEN vs GAM Esports,Worlds Main Event 2023
