champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Sivir,Victory,6/2/7,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Senna,Victory,5/1/15,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Kaisa,Victory,12/4/6,41:40,2023-10-22,NRG vs MAD Lions,Worlds Main Event 2023
Senna,Victory,5/1/11,31:38,2023-10-20,NRG vs Team Liquid,Worlds Main Event 2023
Kalista,Defeat,0/2/1,29:11,2023-10-19,NRG vs WBG,Worlds Main Event 2023
