champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Kaisa,Defeat,1/1/3,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Kaisa,Victory,10/4/5,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
KogMaw,Defeat,2/4/0,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Xayah,Defeat,4/3/2,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Kaisa,Defeat,0/4/1,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Lucian,Defeat,2/4/2,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Ezreal,Defeat,1/3/2,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Xayah,Victory,9/6/10,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Draven,Victory,9/2/4,42:12,2023-10-19,G2 Esports vs Dplus KIA,Worlds Main Event 2023
