champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Gnar,Defeat,1/3/2,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Olaf,Victory,2/3/10,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Poppy,Defeat,0/3/1,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Ornn,Defeat,0/2/6,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Jax,Defeat,0/4/1,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
KSante,Defeat,1/5/2,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Renekton,Defeat,1/3/3,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Yone,Victory,6/4/10,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Renekton,Victory,3/2/10,42:12,2023-10-19,G2 Esports vs Dplus KIA,Worlds Main Event 2023
