GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerRole,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53591,Worlds Main Event 2023,Victory,23:38,ADC,Weibo Gaming,Fnatic,5,0,7,253,9,3,1,True,https://gol.gg/game/stats/53591/page-game/
53590,Worlds Main Event 2023,Victory,30:42,ADC,Weibo Gaming,Fnatic,10,1,4,332,10,2,2,False,https://gol.gg/game/stats/53590/page-game/
53589,Worlds Main Event 2023,Defeat,28:23,ADC,Weibo Gaming,Fnatic,1,2,1,272,2,0,0,False,https://gol.gg/game/stats/53589/page-game/
53573,Worlds Main Event 2023,Victory,28:58,ADC,Weibo Gaming,MAD Lions,8,0,7,237,11,2,2,True,https://gol.gg/game/stats/53573/page-game/
53572,Worlds Main Event 2023,Victory,32:13,ADC,Weibo Gaming,MAD Lions,11,3,8,284,8,2,1,True,https://gol.gg/game/stats/53572/page-game/
53563,Worlds Main Event 2023,Defeat,38:40,ADC,Weibo Gaming,KT Rolster,3,2,8,376,0,3,0,True,https://gol.gg/game/stats/53563/page-game/
53551,Worlds Main Event 2023,Defeat,38:24,ADC,Weibo Gaming,G2 Esports,4,4,7,311,7,4,2,True,https://gol.gg/game/stats/53551/page-game/
53543,Worlds Main Event 2023,Victory,29:11,ADC,Weibo Gaming,NRG,7,0,4,298,9,3,2,True,https://gol.gg/game/stats/53543/page-game/
