GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerRole,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53587,Worlds Main Event 2023,Victory,43:25,Mid,KT Rolster,Dplus KIA,3,3,8,344,9,3,1,False,https://gol.gg/game/stats/53587/page-game/
53586,Worlds Main Event 2023,Victory,34:24,Mid,KT Rolster,Dplus KIA,2,2,4,326,11,1,2,False,https://gol.gg/game/stats/53586/page-game/
53580,Worlds Main Event 2023,Defeat,24:20,Mid,KT Rolster,LNG Esports,0,3,2,220,1,2,0,True,https://gol.gg/game/stats/53580/page-game/
53579,Worlds Main Event 2023,Victory,32:34,Mid,KT Rolster,LNG Esports,4,0,7,312,10,4,2,False,https://gol.gg/game/stats/53579/page-game/
53578,Worlds Main Event 2023,Defeat,35:30,Mid,KT Rolster,LNG Esports,3,2,5,332,3,3,0,True,https://gol.gg/game/stats/53578/page-game/
53563,Worlds Main Event 2023,Victory,38:40,Mid,KT Rolster,Weibo Gaming,4,1,9,344,9,3,2,False,https://gol.gg/game/stats/53563/page-game/
53553,Worlds Main Event 2023,Victory,32:01,Mid,KT Rolster,Dplus KIA,2,1,12,267,9,1,1,True,https://gol.gg/game/stats/53553/page-game/
53545,Worlds Main Event 2023,Defeat,45:16,Mid,KT Rolster,Bilibili Gaming,2,5,3,363,4,2,1,True,https://gol.gg/game/stats/53545/page-game/
