GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerRole,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53582,Worlds Main Event 2023,Victory,28:29,Jungle,NRG,G2 Esports,7,3,8,164,9,4,1,True,https://gol.gg/game/stats/53582/page-game/
53581,Worlds Main Event 2023,Victory,31:03,Jungle,NRG,G2 Esports,8,0,9,192,10,4,1,False,https://gol.gg/game/stats/53581/page-game/
53561,Worlds Main Event 2023,Victory,41:40,Jungle,NRG,MAD Lions,3,2,11,185,10,4,2,True,https://gol.gg/game/stats/53561/page-game/
53546,Worlds Main Event 2023,Victory,31:38,Jungle,NRG,Team Liquid,3,2,10,180,9,2,1,True,https://gol.gg/game/stats/53546/page-game/
53543,Worlds Main Event 2023,Defeat,29:11,Jungle,NRG,Weibo Gaming,1,3,1,171,2,1,0,False,https://gol.gg/game/stats/53543/page-game/
