GamePageID,Tournament,GameOutcome,GameTime,EgoPlayerTeam,OppoPlayerTeam,PlayerKills,PlayerDeaths,PlayerAssists,PlayerCS,TeamTurrets,TeamDrakes,TeamBarons,TeamFirstBlood,GameLink
53580,Worlds Main Event 2023,Victory,24:20,LNG Esports,KT Rolster,0,1,14,38,8,1,1,False,https://gol.gg/game/stats/53580/page-game/
53579,Worlds Main Event 2023,Defeat,32:34,LNG Esports,KT Rolster,0,4,0,34,2,0,0,True,https://gol.gg/game/stats/53579/page-game/
53578,Worlds Main Event 2023,Victory,35:30,LNG Esports,KT Rolster,0,1,11,22,9,2,2,False,https://gol.gg/game/stats/53578/page-game/
53556,Worlds Main Event 2023,Defeat,26:35,LNG Esports,JD Gaming,0,5,4,29,2,1,0,True,https://gol.gg/game/stats/53556/page-game/
53555,Worlds Main Event 2023,Victory,28:30,LNG Esports,JD Gaming,0,1,13,38,8,3,1,True,https://gol.gg/game/stats/53555/page-game/
53554,Worlds Main Event 2023,Defeat,27:39,LNG Esports,JD Gaming,0,3,4,33,3,3,0,False,https://gol.gg/game/stats/53554/page-game/
53547,Worlds Main Event 2023,Victory,32:13,LNG Esports,Cloud9,1,1,8,27,10,4,1,True,https://gol.gg/game/stats/53547/page-game/
53544,Worlds Main Event 2023,Victory,29:11,LNG Esports,Fnatic,1,3,12,41,9,2,2,True,https://gol.gg/game/stats/53544/page-game/
