champName,gameOutcome,KDA,gameTime,gameDate,matchup,split
Azir,Defeat,0/4/0,29:07,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Neeko,Victory,5/3/9,43:57,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Jayce,Defeat,0/3/3,34:22,2023-10-29,G2 Esports vs BLG,Worlds Main Event 2023
Azir,Defeat,1/6/3,28:29,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Syndra,Defeat,3/4/0,31:03,2023-10-28,NRG vs G2 Esports,Worlds Main Event 2023
Taliyah,Defeat,2/5/3,31:56,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Tristana,Defeat,2/6/2,31:41,2023-10-21,G2 Esports vs GEN,Worlds Main Event 2023
Orianna,Victory,6/4/16,38:24,2023-10-20,G2 Esports vs WBG,Worlds Main Event 2023
Orianna,Victory,2/1/8,42:12,2023-10-19,G2 Esports vs Dplus KIA,Worlds Main Event 2023
