player_tier,player_role,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,Jungle,Gen.G eSports,Peanut,205,4,45.01,11.2525
2,Jungle,Bilibili Gaming,XUN,193,8,67.17,8.39625
3,Jungle,NRG,Contractz,183,5,51.94,10.388
2,Jungle,Weibo Gaming,WeiWei,195,8,68.36,8.545
1,Jungle,JD Gaming,Kanavi,205,5,46.25,9.25
2,Jungle,KT Rolster,Cuzz,191,8,70.48,8.81
1,Jungle,LNG Esports,Tarzan,198,8,67.67,8.45875
2,Jungle,T1,Oner,194,5,47.52,9.504000000000001
