player_tier,player_role,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,Top,Gen.G eSports,Doran,205,4,48.36,12.09
2,Top,Bilibili Gaming,Bin,204,8,83.89,10.48625
3,Top,NRG,Dhokla,178,5,57.27,11.454
2,Top,Weibo Gaming,TheShy,198,8,81.77,10.22125
1,Top,JD Gaming,369,206,5,48.61,9.722
2,Top,KT Rolster,Kiin,200,8,84.54,10.5675
1,Top,LNG Esports,Zika,206,8,75.66,9.4575
2,Top,T1,Zeus,202,5,52.82,10.564
