player_tier,player_role,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,ADC,Gen.G eSports,Peyz,207,4,47.7,11.925
2,ADC,Bilibili Gaming,Elk,208,8,74.59,9.32375
3,ADC,NRG,FBI,180,5,50.92,10.184000000000001
2,ADC,Weibo Gaming,Light,199,8,86.95,10.86875
1,ADC,JD Gaming,Ruler,211,5,47.57,9.514
2,ADC,KT Rolster,Aiming,204,8,97.48,12.185
1,ADC,LNG Esports,GALA,209,8,75.74,9.4675
2,ADC,T1,Gumayusi,203,5,49.86,9.972
