player_tier,player_role,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,Mid,Gen.G eSports,Chovy,204,4,46.37,11.5925
2,Mid,Bilibili Gaming,Yagao,190,8,66.16,8.27
3,Mid,NRG,Palafox,184,5,52.77,10.554
2,Mid,Weibo Gaming,xiaohu,201,8,76.45,9.55625
1,Mid,JD Gaming,Knight,207,5,45.23,9.046
2,Mid,KT Rolster,Bdd,197,8,75.62,9.4525
1,Mid,LNG Esports,Scout,207,8,72.2,9.025
2,Mid,T1,Faker,197,5,46.11,9.222
