player_tier,player_role,team_name,player_name,player_cost,games_played,player_total_pts,player_standardized_score
1,Support,Gen.G eSports,Delight,198,4,40.48,10.12
2,Support,Bilibili Gaming,ON,188,8,58.59,7.32375
3,Support,NRG,IgNar,175,5,48.94,9.788
2,Support,Weibo Gaming,Crisp,190,8,64.9,8.1125
1,Support,JD Gaming,Missing,201,5,38.58,7.715999999999999
2,Support,KT Rolster,Lehends,192,8,57.19,7.14875
1,Support,LNG Esports,Hang,190,8,54.16,6.77
2,Support,T1,Keria,196,5,40.01,8.001999999999999
