gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
10661-10661_game_4,partial,DCup,2023,-1,0,2024-01-01 11:40:41,4,1620,5,sup,Meiko,oe:player:bda7cc061d7a1576f1dcad33dd505cd,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,0,11,0,9.0,17,3,0.3333,0.0944552,0.0911291,5,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,17,11,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10661-10661_game_4,partial,DCup,2023,-1,0,2024-01-01 11:40:41,4,1620,10,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0,2,3,18.0,3,17,0.6667,0.0818001,0.075462,10,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,3,2,17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10661-10661_game_5,partial,DCup,2023,-1,0,2024-01-01 12:24:41,5,2408,5,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1,17,3,8.0,22,14,0.1993,0.11123,0.10097,5,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,22,17,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10661-10661_game_5,partial,DCup,2023,-1,0,2024-01-01 12:24:41,5,2408,10,sup,Meiko,oe:player:bda7cc061d7a1576f1dcad33dd505cd,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,0,13,3,17.0,14,23,0.4236,0.0587434,0.0920292,10,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,14,13,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_1,partial,DCup,2023,-1,0,2024-01-03 09:12:49,1,1625,5,sup,Zhuo,oe:player:e78da55d6db43d982f841204a8e51ac,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,1,4,3,37.0,6,16,1.3662,0.196198,0.110391,5,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,6,4,16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_1,partial,DCup,2023,-1,0,2024-01-03 09:12:49,1,1625,10,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1,10,4,14.0,16,6,0.5169,0.109562,0.1,10,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,16,10,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_2,partial,DCup,2023,-1,0,2024-01-03 09:58:54,2,1396,5,sup,Zhuo,oe:player:e78da55d6db43d982f841204a8e51ac,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,1,1,2,33.0,5,19,1.4183,0.051085,0.0997916,5,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,5,1,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_2,partial,DCup,2023,-1,0,2024-01-03 09:58:54,2,1396,10,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1,11,0,14.0,19,5,0.6017,0.17304,0.13712,10,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,19,11,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_3,partial,DCup,2023,-1,0,2024-01-03 10:40:05,3,1623,5,sup,Zhuo,oe:player:e78da55d6db43d982f841204a8e51ac,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,1,5,4,27.0,14,28,0.9982,0.158391,0.106333,5,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,14,5,28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10662-10662_game_3,partial,DCup,2023,-1,0,2024-01-03 10:40:05,3,1623,10,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,3,15,1,35.0,28,14,1.2939,0.0793221,0.124895,10,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,28,15,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
