kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
7.0,1.0,7.0,132.0,8.0,1.0,1.0,0.0,2.64,4.050000000000001,1.5,2.0,10.190000000000001
0.0,4.0,1.0,179.0,2.0,0.0,0.0,1.0,3.58,-0.39999999999999997,0.7,0.0,3.88
1.0,3.0,10.0,176.0,9.0,2.0,2.0,0.0,3.52,1.9500000000000002,2.3,2.0,9.77
1.0,2.0,4.0,162.0,2.0,1.0,0.0,1.0,3.24,0.9000000000000001,0.9,0.0,5.040000000000001
2.0,0.0,11.0,170.0,8.0,3.0,1.0,1.0,3.4,3.0,2.4000000000000004,2.0,10.8
2.0,3.0,2.0,162.0,3.0,3.0,0.0,0.0,3.24,0.7500000000000001,0.9000000000000001,0.0,4.890000000000001
2.0,0.0,9.0,204.0,10.0,4.0,1.0,1.0,4.08,2.6,2.8,2.0,11.48
1.0,2.0,18.0,156.0,9.0,2.0,2.0,1.0,3.12,3.7,2.8,2.0,11.620000000000001
