kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
1,0,11,53,11,4,1,True,0.4,0.0,3.85,1.59,4.25,2.9,2.0,10.74
0,2,18,68,6,0,2,False,0.0,-0.2,6.3,2.04,6.1,1.6,0.0,9.74
0,2,13,30,9,4,2,True,0.0,-0.2,4.55,0.9,4.35,3.2,2.0,10.45
0,5,0,37,2,1,0,True,0.0,-0.5,0.0,1.11,-0.5,0.9,0.0,1.51
1,2,2,35,0,0,0,False,0.4,-0.2,0.7,1.05,0.9,0.0,0.0,1.95
1,1,11,36,9,3,1,False,0.4,-0.1,3.85,1.08,4.15,2.0,2.0,9.23
1,3,4,27,1,0,0,False,0.4,-0.3,1.4,0.81,1.5,0.1,0.0,2.41
0,2,17,67,10,4,2,False,0.0,-0.2,5.95,2.01,5.75,2.8,2.0,12.56
