kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
4,1,9,181,11,4,1,True,1.6,-0.15,1.8,3.62,3.25,2.9,2.0,11.77
4,4,10,190,6,0,2,False,1.6,-0.6,2.0,3.8,3.0,1.6,0.0,8.4
2,0,8,191,9,4,2,True,0.8,0.0,1.6,3.82,2.4,3.2,2.0,11.42
0,3,4,178,2,1,0,True,0.0,-0.45,0.8,3.56,0.35,0.9,0.0,4.8100000000000005
0,3,3,163,0,0,0,False,0.0,-0.45,0.6,3.26,0.15,0.0,0.0,3.4099999999999997
1,2,13,180,9,3,1,False,0.4,-0.3,2.6,3.6,2.7,2.0,2.0,10.3
1,4,4,143,1,0,0,False,0.4,-0.6,0.8,2.86,0.6,0.1,0.0,3.56
6,2,12,210,10,4,2,False,2.4,-0.3,2.4,4.2,4.5,2.8,2.0,13.5
