kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
5,0,6,313,9,3,2,False,6.26,3.2,2.5,2.0,13.96
2,1,9,285,10,3,1,False,5.7,2.45,2.1,2.0,12.25
3,1,7,214,9,4,1,False,4.28,2.45,2.2,2.0,10.93
4,2,9,191,9,2,1,True,3.8200000000000003,3.1,2.3,2.0,11.219999999999999
