kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
3.0,3.0,8.0,344.0,9.0,3.0,1.0,0.0,5.16,1.8,2.0,2.0,10.96
2.0,2.0,4.0,326.0,11.0,1.0,2.0,0.0,4.89,1.0,2.3,2.0,10.19
0.0,3.0,2.0,220.0,1.0,2.0,0.0,1.0,3.3,-0.3000000000000001,1.0,0.0,3.9999999999999996
4.0,0.0,7.0,312.0,10.0,4.0,2.0,0.0,4.68,2.6500000000000004,2.8,2.0,12.129999999999999
3.0,2.0,5.0,332.0,3.0,3.0,0.0,1.0,4.9799999999999995,1.5500000000000003,1.4000000000000001,0.0,7.93
4.0,1.0,9.0,344.0,9.0,3.0,2.0,0.0,5.16,2.75,2.5,2.0,12.41
2.0,1.0,12.0,267.0,9.0,1.0,1.0,1.0,4.005,2.4,2.1,2.0,10.504999999999999
2.0,5.0,3.0,363.0,4.0,2.0,1.0,1.0,5.444999999999999,0.25,1.8,0.0,7.494999999999999
