kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
8,1,6,543,9,3,1,False,3.2,-0.2,0.9,8.145,3.9,2.0,2.0,16.045
7,0,7,372,11,1,2,False,2.8,0.0,1.05,5.58,3.85,2.3,2.0,13.73
0,1,3,231,1,2,0,True,0.0,-0.2,0.45,3.465,0.25,1.0,0.0,4.715
7,0,4,363,10,4,2,False,2.8,0.0,0.6,5.445,3.4,2.8,2.0,13.645
4,2,4,356,3,3,0,True,1.6,-0.4,0.6,5.34,1.8,1.4,0.0,8.54
14,3,7,385,9,3,2,False,5.6,-0.6,1.05,5.775,6.05,2.5,2.0,16.325
9,0,6,385,9,1,1,True,3.6,0.0,0.9,5.775,4.5,2.1,2.0,14.375
5,5,3,457,4,2,1,True,2.0,-1.0,0.45,6.855,1.45,1.8,0.0,10.105
