kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
0,6,10,38,9,3,1,False,1.14,2.9,2.0,2.0,8.04
0,3,7,40,11,1,2,False,1.2,2.1499999999999995,2.3,2.0,7.6499999999999995
1,3,1,29,1,2,0,True,0.87,0.44999999999999996,1.0,0.0,2.32
0,1,9,36,10,4,2,False,1.08,3.05,2.8,2.0,8.93
1,3,6,44,3,3,0,True,1.3199999999999998,2.1999999999999997,1.4000000000000001,0.0,4.92
0,2,15,48,9,3,2,False,1.44,5.05,2.5,2.0,10.99
1,1,11,33,9,1,1,True,0.99,4.1499999999999995,2.1,2.0,9.24
0,1,5,55,4,2,1,True,1.65,1.65,1.8,0.0,5.1
