kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
4,1,9,252,8,2,1,False,5.04,3.25,1.7000000000000002,2.0,11.989999999999998
1,3,1,213,0,1,0,False,4.26,0.15000000000000008,0.2,0.0,4.61
0,2,11,203,8,1,1,True,4.0600000000000005,1.9000000000000001,2.0,2.0,9.96
3,1,5,219,10,4,1,True,4.38,2.0500000000000003,2.8,2.0,11.23
2,2,11,206,9,3,1,False,4.12,2.7,2.0,2.0,10.82
