kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
1,2,6,171,9,3,1,True,0.4,-0.3,1.2,3.42,1.3,2.5,2.0,9.22
4,1,8,296,10,2,2,False,1.6,-0.15,1.6,5.92,3.05,2.4,2.0,13.37
0,4,2,223,2,0,0,False,0.0,-0.6,0.4,4.46,-0.2,0.2,0.0,4.46
4,2,7,236,11,2,2,True,1.6,-0.3,1.4,4.72,2.7,3.0,2.0,12.42
4,1,5,231,8,2,1,True,1.6,-0.15,1.0,4.62,2.45,2.2,2.0,11.27
1,6,4,278,0,3,0,True,0.4,-0.9,0.8,5.56,0.3,1.1,0.0,6.96
9,6,7,296,7,4,2,True,3.6,-0.9,1.4,5.92,4.1,3.0,0.0,13.02
0,1,3,280,9,3,2,True,0.0,-0.15,0.6,5.6,0.45,3.0,2.0,11.05
