kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
5,0,7,253,9,3,1,True,2.0,0.0,1.05,3.795,3.05,502.0,2000,2508.8450000000003
10,1,4,332,10,2,2,False,4.0,-0.2,0.6,4.98,4.3999999999999995,2.4,2000,2011.78
1,2,1,272,2,0,0,False,0.4,-0.4,0.15,4.08,0.15,0.2,0,4.430000000000001
8,0,7,237,11,2,2,True,3.2,0.0,1.05,3.555,4.25,502.5,2000,2510.305
11,3,8,284,8,2,1,True,4.4,-0.6,1.2,4.26,5.0,501.7,2000,2510.96
3,2,8,376,0,3,0,True,1.2,-0.4,1.2,5.64,2.0,500.6,0,508.24
4,4,7,311,7,4,2,True,1.6,-0.8,1.05,4.665,1.85,502.5,0,509.015
7,0,4,298,9,3,2,True,2.8,0.0,0.6,4.47,3.4,502.5,2000,2510.37
