kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
3,2,7,279,8,2,1,False,1.2,-0.4,1.05,4.185,1.85,1.7000000000000002,2000,2007.735
0,1,1,294,0,1,0,False,0.0,-0.2,0.15,4.41,-0.05000000000000002,0.2,0,4.5600000000000005
4,2,6,301,8,1,1,True,1.6,-0.4,0.9,4.515,2.1,501.5,2000,2508.115
8,1,5,223,10,4,1,True,3.2,-0.2,0.75,3.345,3.75,502.3,2000,2509.395
4,0,6,285,9,3,1,False,1.6,0.0,0.9,4.275,2.5,2.0,2000,2008.775
