kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
3,3,8,261,11,4,1,True,1.2000000000000002,-0.6000000000000001,1.2,3.915,1.8,2.9000000000000004,2.0,10.615
5,4,10,424,6,0,2,False,2.0,-0.8,1.5,6.359999999999999,2.7,1.6,0.0,10.659999999999998
3,1,8,347,9,4,2,True,1.2000000000000002,-0.2,1.2,5.205,2.2,3.2,2.0,12.605
0,4,1,282,2,1,0,True,0.0,-0.8,0.15,4.2299999999999995,-0.65,0.9,0.0,4.4799999999999995
2,3,1,254,0,0,0,False,0.8,-0.6000000000000001,0.15,3.81,0.35,0.0,0.0,4.16
6,1,7,349,9,3,1,False,2.4000000000000004,-0.2,1.05,5.234999999999999,3.25,2.0,2.0,12.485
2,3,3,193,1,0,0,False,0.8,-0.6000000000000001,0.44999999999999996,2.895,0.6499999999999999,0.1,0.0,3.645
6,2,12,488,10,4,2,False,2.4000000000000004,-0.4,1.7999999999999998,7.319999999999999,3.8000000000000003,2.8,2.0,15.919999999999998
