kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
5,1,8,204,9,3,1,True,2.0,-0.2,1.2,3.06,3.0,502.0,2000,2508.06
3,4,10,250,10,2,2,False,1.2,-0.8,1.5,3.75,1.9,2.4,2000,2008.05
3,2,0,234,2,0,0,False,1.2,-0.4,0.0,3.51,0.7999999999999999,0.2,0,4.51
3,0,10,253,11,2,2,True,1.2,0.0,1.5,3.795,2.7,502.5,2000,2508.995
1,5,12,227,8,2,1,True,0.4,-1.0,1.8,3.405,1.2000000000000002,501.7,2000,2506.305
6,1,2,342,0,3,0,True,2.4,-0.2,0.3,5.13,2.4999999999999996,500.6,0,508.23
5,5,10,352,7,4,2,True,2.0,-1.0,1.5,5.28,2.5,502.5,0,510.28
3,1,5,318,9,3,2,True,1.2,-0.2,0.75,4.77,1.75,502.5,2000,2509.02
