kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
1.0,2.0,10.0,217.0,9.0,3.0,1.0,0.0,4.34,2.1,2.0,2.0,10.44
2.0,3.0,6.0,197.0,11.0,1.0,2.0,0.0,3.94,1.5500000000000003,2.3,2.0,9.79
2.0,5.0,1.0,127.0,1.0,2.0,0.0,1.0,2.54,0.25000000000000006,1.0,0.0,3.79
2.0,0.0,7.0,205.0,10.0,4.0,2.0,0.0,4.1,2.2,2.8,2.0,11.1
0.0,2.0,9.0,157.0,3.0,3.0,0.0,1.0,3.14,1.5,1.4000000000000001,0.0,6.040000000000001
2.0,2.0,13.0,253.0,9.0,3.0,2.0,0.0,5.0600000000000005,3.1,2.5,2.0,12.66
3.0,0.0,9.0,172.0,9.0,1.0,1.0,1.0,3.44,3.0,2.1,2.0,10.54
1.0,4.0,3.0,196.0,4.0,2.0,1.0,1.0,3.92,0.40000000000000013,1.8,0.0,6.12
