kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
5.0,1.0,8.0,227.0,8.0,1.0,1.0,0.0,3.405,3.0,1.5,2.0,9.905
0.0,3.0,1.0,334.0,2.0,0.0,0.0,1.0,5.01,-0.45000000000000007,0.7,0.0,5.26
8.0,0.0,3.0,385.0,9.0,2.0,2.0,0.0,5.7749999999999995,3.6500000000000004,2.3,2.0,13.725000000000001
1.0,2.0,5.0,242.0,2.0,1.0,0.0,1.0,3.63,0.75,0.9,0.0,5.28
3.0,1.0,8.0,295.0,8.0,3.0,1.0,1.0,4.425,2.2,2.4000000000000004,2.0,11.025
3.0,2.0,1.0,285.0,3.0,3.0,0.0,0.0,4.2749999999999995,0.9500000000000002,0.9000000000000001,0.0,6.125
2.0,2.0,7.0,341.0,10.0,4.0,1.0,1.0,5.115,1.4500000000000002,2.8,2.0,11.365
8.0,1.0,5.0,302.0,9.0,2.0,2.0,1.0,4.53,3.75,2.8,2.0,13.080000000000002
