kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
4,0,4,252,11,4,1,True,1.6,0.0,0.8,5.04,2.4000000000000004,502.4,2000,2509.84
6,3,4,322,6,0,2,False,2.4,-0.45,0.8,6.44,2.75,1.6,0,10.790000000000001
7,0,2,333,9,4,2,True,2.8,0.0,0.4,6.66,3.1999999999999997,502.7,2000,2512.56
2,1,0,286,2,1,0,True,0.8,-0.15,0.0,5.72,0.65,500.4,0,506.77
0,3,1,247,0,0,0,False,0.0,-0.45,0.2,4.94,-0.25,0.0,0,4.69
6,1,4,325,9,3,1,False,2.4,-0.15,0.8,6.5,3.05,2.0,2000,2011.55
3,4,0,186,1,0,0,False,1.2,-0.6,0.0,3.72,0.6,0.1,0,4.42
5,1,10,356,10,4,2,False,2.0,-0.15,2.0,7.12,3.85,2.8,2000,2013.77
