kills,assists,deaths,cs,turrets,dragons,barons,first_blood,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
3.0,3.0,8.0,368.0,9.0,3.0,1.0,0.0,7.36,2.3500000000000005,2.0,2.0,13.71
4.0,1.0,9.0,302.0,11.0,1.0,2.0,0.0,6.04,3.25,2.3,2.0,13.59
1.0,4.0,1.0,174.0,1.0,2.0,0.0,1.0,3.48,5.551115123125783e-17,1.0,0.0,4.48
1.0,2.0,2.0,293.0,10.0,4.0,2.0,0.0,5.86,0.5,2.8,2.0,11.16
1.0,4.0,2.0,258.0,3.0,3.0,0.0,1.0,5.16,0.20000000000000007,1.4000000000000001,0.0,6.760000000000001
3.0,3.0,12.0,275.0,9.0,3.0,2.0,0.0,5.5,3.1500000000000004,2.5,2.0,13.15
1.0,2.0,11.0,279.0,9.0,1.0,1.0,1.0,5.58,2.3000000000000003,2.1,2.0,11.98
2.0,5.0,4.0,353.0,4.0,2.0,1.0,1.0,7.0600000000000005,0.8500000000000001,1.8,0.0,9.71
