kills,assists,deaths,cs,turrets,dragons,barons,first_blood,K_pts,D_pts,A_pts,CS_pts,KDA_pts,TDFB_pts,WIN_pts,PTV
2,2,8,108,9,3,1,True,0.8,-0.3,1.6,2.16,2.1,2.5,2.0,8.76
0,1,15,142,10,2,2,False,0.0,-0.15,3.0,2.84,2.85,2.4,2.0,10.09
0,2,2,116,2,0,0,False,0.0,-0.3,0.4,2.32,0.10000000000000003,0.2,0.0,2.62
2,1,12,151,11,2,2,True,0.8,-0.15,2.4000000000000004,3.02,3.0500000000000003,3.0,2.0,11.07
2,4,11,139,8,2,1,True,0.8,-0.6,2.2,2.7800000000000002,2.4000000000000004,2.2,2.0,9.38
1,8,6,162,0,3,0,True,0.4,-1.2,1.2000000000000002,3.24,0.40000000000000024,1.1,0.0,4.74
5,4,10,256,7,4,2,True,2.0,-0.6,2.0,5.12,3.4,3.0,0.0,11.52
2,0,5,169,9,3,2,True,0.8,-0.0,1.0,3.38,1.8,3.0,2.0,10.18
