gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,1,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,2,3,1,259.0,15,14,8.0727,0.251108,0.201892,1,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,15,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,6,top,Cabochard,oe:player:010c1b0d37c2b7459b215dae7ffeeac,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,0,1,1,218.0,14,15,6.7948,0.179678,0.153351,6,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,14,1,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,1,top,Oscarinin,oe:player:be9758f87345bcce47970a8f17b3c07,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,1,4,0,294.0,12,5,9.9045,0.163398,0.224875,1,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,12,4,5,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,6,top,Photon,oe:player:fd22b656b23ca07a276181a4953ba2c,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0,0,2,295.0,5,12,9.9382,0.202553,0.257252,6,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,0,12,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,1,top,Szygenda,oe:player:57a976f165d89afb00fc029cd7c36a7,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,1,1,2,288.0,2,15,9.1139,0.310502,0.234059,1,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,2,1,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,6,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,2,9,1,252.0,15,2,7.9747,0.188255,0.208949,6,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,15,9,2,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,1,top,Photon,oe:player:fd22b656b23ca07a276181a4953ba2c,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,4,1,2,258.0,10,25,8.7408,0.439506,0.306983,1,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,10,1,25,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,6,top,Adam,oe:player:6a9abcfebed9c636ca90560b7f49855,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,3,8,1,232.0,25,10,7.86,0.140021,0.185878,6,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,25,8,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,1,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,0,2,3,311.0,6,21,8.2566,0.22524,0.208766,1,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,6,2,21,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,6,top,Szygenda,oe:player:57a976f165d89afb00fc029cd7c36a7,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,1,10,1,302.0,21,6,8.0177,0.12742,0.182206,6,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,21,10,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,1,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,3,2,2,322.0,14,6,9.4613,0.189506,0.239396,1,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,14,2,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,6,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,2,3,3,272.0,6,14,7.9922,0.24348,0.224844,6,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,6,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,1,top,Cabochard,oe:player:010c1b0d37c2b7459b215dae7ffeeac,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1,3,5,220.0,12,20,6.4643,0.134188,0.157598,1,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,12,3,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,6,top,Myrwn,oe:player:ede24d5e0911d7a4f6ec514a67802ff,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,5,2,6,243.0,20,12,7.1401,0.259945,0.223103,6,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,20,2,12,nan,nan,nan,nan,0.0,0.0,nan
