gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,4,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,2,8,6,275.0,15,14,8.5714,0.203288,0.212765,4,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,15,8,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,9,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,5,6,3,309.0,14,15,9.6312,0.384807,0.268995,9,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,14,6,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,4,bot,Noah,oe:player:95d286ec0a5d750d09e848a4e630c56,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,5,1,2,281.0,12,5,9.4666,0.237077,0.225824,4,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,12,1,5,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,9,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1,1,4,233.0,5,12,7.8495,0.228046,0.229496,9,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,1,12,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,4,bot,Comp,oe:player:5d531a4cf817202fc25eda63906e797,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0,1,4,296.0,2,15,9.3671,0.1129,0.234696,4,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,2,1,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,9,bot,Flakked,oe:player:717bb4d71a2dab54e7020b1a8fde420,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,8,4,1,301.0,15,2,9.5253,0.231393,0.262513,9,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,15,4,2,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,4,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,2,1,5,246.0,10,25,8.3343,0.223372,0.21464,4,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,10,1,25,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,9,bot,Ice,oe:player:8bac58409e91b96ecd05f6d8f053e07,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,4,14,1,291.0,25,10,9.8588,0.183841,0.2342,9,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,25,14,10,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,4,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,3,1,2,400.0,6,21,10.6195,0.31827,0.285449,4,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,6,1,21,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,9,bot,Comp,oe:player:5d531a4cf817202fc25eda63906e797,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,11,8,0,377.0,21,6,10.0088,0.35661,0.284438,9,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,21,8,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,4,bot,Flakked,oe:player:717bb4d71a2dab54e7020b1a8fde420,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,3,9,1,296.0,14,6,8.6974,0.287231,0.214933,4,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,14,9,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,9,bot,Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,0,4,3,330.0,6,14,9.6964,0.234674,0.244332,9,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,6,4,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,4,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,4,5,2,311.0,12,20,9.1381,0.231445,0.269243,4,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,12,5,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,9,bot,Supa,oe:player:1223a0ed2bfab9b714c72d965df8133,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,11,5,2,335.0,20,12,9.8433,0.461001,0.311829,9,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,20,5,12,nan,nan,nan,nan,0.0,0.0,nan
