gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,3,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,3,3,2,321.0,15,14,10.0052,0.236256,0.24173,3,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,15,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,8,mid,SAKEN,oe:player:1d43b8dc600eba61cd7dd2cd8d6baf6,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,3,4,4,270.0,14,15,8.4156,0.212474,0.219735,8,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,14,4,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,3,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,6,2,0,332.0,12,5,11.1847,0.409816,0.311187,3,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,12,2,5,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,8,mid,Vetheo,oe:player:5eb466e63c91a4ccf328f21715e51ae,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,2,0,0,258.0,5,12,8.6917,0.335314,0.232747,8,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,0,12,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,3,mid,Larssen,oe:player:d3f8c554a302aebd5d2bae668ae197e,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0,2,1,336.0,2,15,10.6329,0.417933,0.284438,3,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,2,2,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,8,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,3,2,0,286.0,15,2,9.0506,0.254596,0.212783,8,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,15,2,2,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,3,mid,Vetheo,oe:player:5eb466e63c91a4ccf328f21715e51ae,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,3,1,5,247.0,10,25,8.3682,0.176352,0.224629,3,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,10,1,25,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,8,mid,nuc,oe:player:8f862245fbdb4d065e46c83630b9495,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,8,8,2,267.0,25,10,9.0457,0.279514,0.254884,8,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,25,8,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,3,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,0,3,6,327.0,6,21,8.6814,0.228836,0.216808,3,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,6,3,21,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,8,mid,Larssen,oe:player:d3f8c554a302aebd5d2bae668ae197e,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,4,12,1,336.0,21,6,8.9204,0.307845,0.256736,8,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,21,12,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,3,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,6,3,2,323.0,14,6,9.4907,0.245455,0.236675,3,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,14,3,6,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,8,mid,Jackies,oe:player:204746c853a12888ad72d8035cdf8c7,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,1,3,4,305.0,6,14,8.9618,0.318295,0.242487,8,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,6,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,3,mid,SAKEN,oe:player:1d43b8dc600eba61cd7dd2cd8d6baf6,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1,5,3,312.0,12,20,9.1675,0.25211,0.246011,3,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,12,5,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,8,mid,Fresskowy,oe:player:cda093b28f577696b82604fb20037ad,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,2,7,2,260.0,20,12,7.6396,0.151685,0.189483,8,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,20,7,12,nan,nan,nan,nan,0.0,0.0,nan
