gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,2,jng,Yike,oe:player:4203fc46c4c6333e9bfa9d0a8618677,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,7,4,2,223.0,15,14,6.9506,0.216882,0.235338,2,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,15,4,14,nan,nan,nan,nan,1.0,1.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,7,jng,Bo,oe:player:b0d8913d4dfb85c2325c0773ff52ae9,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,4,7,5,212.0,14,15,6.6078,0.164371,0.217308,7,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,14,7,15,nan,nan,nan,nan,1.0,1.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,2,jng,Razork,oe:player:390ca7b6b38d552363eba1b5b54ff18,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,0,9,1,160.0,12,5,5.3902,0.142608,0.144032,2,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,12,9,5,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,7,jng,Daglas,oe:player:b49867477e266c5da8e995074e18f80,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,2,1,3,180.0,5,12,6.064,0.122661,0.183598,7,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,1,12,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,2,jng,Markoon,oe:player:6c2d19f781192a84726e07f68a531b6,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,1,1,4,150.0,2,15,4.7468,0.113505,0.172459,2,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,2,1,15,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_12874,complete,LEC,2024,Winter,0,2024-01-14 20:53:16,1,1896,7,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,2,11,0,215.0,15,2,6.8038,0.175993,0.195408,7,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,15,11,2,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,2,jng,Daglas,oe:player:b49867477e266c5da8e995074e18f80,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1,6,6,162.0,10,25,5.4884,0.128541,0.174048,2,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,10,6,25,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13896,complete,LEC,2024,Winter,0,2024-01-15 16:07:11,1,1771,7,jng,Sheo,oe:player:404079b4e478ea2a8b57904c640311b,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,6,9,4,195.0,25,10,6.6064,0.199207,0.205823,7,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,25,9,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,2,jng,Yike,oe:player:4203fc46c4c6333e9bfa9d0a8618677,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,1,3,4,219.0,6,21,5.8142,0.106816,0.187894,2,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,6,3,21,nan,nan,nan,nan,1.0,1.0,nan
LOLTMNT06_13904,complete,LEC,2024,Winter,0,2024-01-15 17:07:09,1,2260,7,jng,Markoon,oe:player:6c2d19f781192a84726e07f68a531b6,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,4,9,2,207.0,21,6,5.4956,0.141882,0.17363,7,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,21,9,6,nan,nan,nan,nan,1.0,1.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,2,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,2,8,1,249.0,14,6,7.3164,0.174668,0.192723,2,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,14,8,6,nan,nan,nan,nan,2.0,0.0,nan
LOLTMNT06_12924,complete,LEC,2024,Winter,0,2024-01-15 18:12:10,1,2042,7,jng,Peach,oe:player:53841c6e42a6ce77b6f3b80133c9342,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,3,1,3,168.0,6,14,4.9363,0.14867,0.211956,7,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,6,1,14,nan,nan,nan,nan,0.0,2.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,2,jng,Bo,oe:player:b0d8913d4dfb85c2325c0773ff52ae9,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,4,3,6,213.0,12,20,6.2586,0.231216,0.19124,2,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,12,3,20,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_13954,complete,LEC,2024,Winter,0,2024-01-15 19:11:40,1,2042,7,jng,Elyoya,oe:player:8a8f18e4b7d0f30c19c5fb99a526951,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,0,13,0,182.0,20,12,5.3477,0.0739227,0.151042,7,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,20,13,12,nan,nan,nan,nan,1.0,0.0,nan
